aggId,price,quantity,date,buyerMaker,coin
3664796852,108246.36,0.00023,2025-01-01,False,BTC
3664796853,108246.36,0.00027,2025-01-01,False,BTC
3664796854,108246.36,0.00046,2025-01-01,False,BTC
3664796855,108246.36,0.00711,2025-01-01,False,BTC
3664796856,108246.36,6e-05,2025-01-01,False,BTC
3664796857,108246.36,0.001,2025-01-01,False,BTC
3664796858,108246.36,0.0001,2025-01-01,False,BTC
3664796859,108246.36,9e-05,2025-01-01,False,BTC
3664796860,108246.36,0.01274,2025-01-01,False,BTC
3664796861,108246.35,0.00067,2025-01-01,True,BTC
3664796862,108246.35,0.00918,2025-01-01,True,BTC
3664796863,108246.35,0.23198,2025-01-01,True,BTC
3664796864,108246.35,0.22188,2025-01-01,True,BTC
3664796865,108246.35,0.26738,2025-01-01,True,BTC
3664796866,108246.34,0.00045,2025-01-01,True,BTC
3664796867,108244.11,5e-05,2025-01-01,True,BTC
3664796868,108243.28,5e-05,2025-01-01,True,BTC
3664796869,108242.01,5e-05,2025-01-01,True,BTC
3664796870,108242.0,0.0003,2025-01-01,True,BTC
3664796871,108240.94,0.00021,2025-01-01,True,BTC
3664796872,108240.85,0.00355,2025-01-01,True,BTC
3664796873,108240.84,0.0007,2025-01-01,True,BTC
3664796874,108240.8,0.00226,2025-01-01,True,BTC
3664796875,108240.8,5e-05,2025-01-01,True,BTC
3664796876,108240.51,5e-05,2025-01-01,True,BTC
3664796877,108240.51,0.00057,2025-01-01,False,BTC
3664796878,108240.51,0.00052,2025-01-01,False,BTC
3664796879,108240.5,6e-05,2025-01-01,True,BTC
3664796880,108240.5,0.00062,2025-01-01,True,BTC
3664796881,108240.51,0.00179,2025-01-01,False,BTC
3664796882,108240.51,0.00115,2025-01-01,False,BTC
3664796883,108240.51,0.00453,2025-01-01,False,BTC
3664796884,108240.51,0.00438,2025-01-01,False,BTC
3664796885,108240.5,0.0039,2025-01-01,True,BTC
3664796886,108240.51,9e-05,2025-01-01,False,BTC
3664796887,108240.51,0.0001,2025-01-01,False,BTC
3664796888,108240.51,0.00227,2025-01-01,False,BTC
3664796889,108240.5,0.05715,2025-01-01,True,BTC
3664796890,108240.5,0.10352,2025-01-01,True,BTC
3664796891,108240.51,0.16,2025-01-01,False,BTC
3664796892,108240.51,0.00089,2025-01-01,False,BTC
3664796893,108240.5,0.00461,2025-01-01,True,BTC
3664796894,108240.5,0.00015,2025-01-01,True,BTC
3664796895,108240.51,0.00024,2025-01-01,False,BTC
3664796896,108240.51,0.00013,2025-01-01,False,BTC
3664796897,108240.51,0.00022,2025-01-01,False,BTC
3664796898,108240.51,0.00053,2025-01-01,False,BTC
3664796899,108240.51,0.002,2025-01-01,False,BTC
3664796900,108240.5,0.00231,2025-01-01,True,BTC
3664796901,108240.5,0.00041,2025-01-01,True,BTC
3664796902,108240.51,0.01388,2025-01-01,False,BTC
3664796903,108240.51,0.002,2025-01-01,False,BTC
3664796904,108240.5,3.31036,2025-01-01,True,BTC
3664796905,108240.51,0.00065,2025-01-01,False,BTC
3664796906,108240.5,0.02771,2025-01-01,True,BTC
3664796907,108240.5,0.00028,2025-01-01,True,BTC
3664796908,108240.51,0.00017,2025-01-01,False,BTC
3664796909,108240.51,0.10259,2025-01-01,False,BTC
3664796910,108240.51,0.00642,2025-01-01,False,BTC
3664796911,108240.51,0.00029,2025-01-01,False,BTC
3664796912,108240.51,0.00222,2025-01-01,False,BTC
3664796913,108240.51,5e-05,2025-01-01,False,BTC
3664796914,108240.51,0.00092,2025-01-01,False,BTC
3664796915,108240.5,0.01003,2025-01-01,True,BTC
3664796916,108240.51,0.00859,2025-01-01,False,BTC
3664796917,108240.51,0.03533,2025-01-01,False,BTC
3664796918,108240.51,0.0011,2025-01-01,False,BTC
3664796919,108240.5,0.01792,2025-01-01,True,BTC
3664796920,108240.49,0.0004,2025-01-01,True,BTC
3664796921,108240.49,0.0001,2025-01-01,True,BTC
3664796922,108240.48,5e-05,2025-01-01,True,BTC
3664796923,108240.47,0.00015,2025-01-01,True,BTC
3664796924,108240.45,0.00163,2025-01-01,True,BTC
3664796925,108240.26,0.00075,2025-01-01,True,BTC
3664796926,108240.25,0.00045,2025-01-01,True,BTC
3664796927,108240.01,0.00015,2025-01-01,True,BTC
3664796928,108240.0,0.00017,2025-01-01,True,BTC
3664796929,108240.0,0.00142,2025-01-01,True,BTC
3664796930,108239.99,0.00035,2025-01-01,True,BTC
3664796931,108239.95,0.00168,2025-01-01,True,BTC
3664796932,108239.67,0.00025,2025-01-01,True,BTC
3664796933,108239.66,0.00015,2025-01-01,True,BTC
3664796934,108239.41,0.00015,2025-01-01,True,BTC
3664796935,108239.0,0.00092,2025-01-01,True,BTC
3664796936,108238.78,5e-05,2025-01-01,True,BTC
3664796937,108238.0,5e-05,2025-01-01,True,BTC
3664796938,108237.87,5e-05,2025-01-01,True,BTC
3664796939,108237.35,0.0001,2025-01-01,True,BTC
3664796940,108236.02,5e-05,2025-01-01,True,BTC
3664796941,108236.0,5e-05,2025-01-01,True,BTC
3664796942,108235.31,5e-05,2025-01-01,True,BTC
3664796943,108234.51,7e-05,2025-01-01,True,BTC
3664796944,108232.83,0.00051,2025-01-01,False,BTC
3664796945,108232.82,8e-05,2025-01-01,True,BTC
3664796946,108232.83,6e-05,2025-01-01,False,BTC
3664796947,108232.83,0.00014,2025-01-01,False,BTC
3664796948,108232.82,0.00326,2025-01-01,True,BTC
3664796949,108232.82,0.00636,2025-01-01,True,BTC
3664796950,108232.82,0.0034,2025-01-01,True,BTC
3664796951,108232.82,0.0104,2025-01-01,True,BTC
3664796952,108232.82,0.4364,2025-01-01,True,BTC
3664796953,108232.82,0.15838,2025-01-01,True,BTC
3664796954,108232.82,0.04662,2025-01-01,True,BTC
3664796955,108232.82,0.002,2025-01-01,True,BTC
3664796956,108232.82,0.07801,2025-01-01,True,BTC
3664796957,108232.81,0.00075,2025-01-01,True,BTC
3664796958,108232.7,0.00172,2025-01-01,True,BTC
3664796959,108232.46,5e-05,2025-01-01,True,BTC
3664796960,108232.12,5e-05,2025-01-01,True,BTC
3664796961,108232.11,0.00015,2025-01-01,True,BTC
3664796962,108232.02,5e-05,2025-01-01,True,BTC
3664796963,108232.01,0.26572,2025-01-01,True,BTC
3664796964,108232.0,5e-05,2025-01-01,True,BTC
3664796965,108231.6,0.09273,2025-01-01,True,BTC
3664796966,108231.6,0.00045,2025-01-01,True,BTC
3664796967,108231.6,0.00035,2025-01-01,True,BTC
3664796968,108231.59,0.0001,2025-01-01,True,BTC
3664796969,108231.59,0.00025,2025-01-01,True,BTC
3664796970,108231.55,0.00197,2025-01-01,True,BTC
3664796971,108230.68,5e-05,2025-01-01,True,BTC
3664796972,108230.67,0.0001,2025-01-01,True,BTC
3664796973,108230.67,5e-05,2025-01-01,True,BTC
3664796974,108230.0,0.00085,2025-01-01,True,BTC
3664796975,108229.99,0.0004,2025-01-01,True,BTC
3664796976,108229.59,5e-05,2025-01-01,True,BTC
3664796977,108229.58,0.0002,2025-01-01,True,BTC
3664796978,108229.54,5e-05,2025-01-01,True,BTC
3664796979,108229.53,7e-05,2025-01-01,True,BTC
3664796980,108229.53,0.00038,2025-01-01,True,BTC
3664796981,108229.52,0.00045,2025-01-01,True,BTC
3664796982,108229.46,0.00071,2025-01-01,True,BTC
3664796983,108229.46,0.00559,2025-01-01,True,BTC
3664796984,108229.25,0.01475,2025-01-01,True,BTC
3664796985,108229.24,0.00051,2025-01-01,True,BTC
3664796986,108229.2,0.00214,2025-01-01,True,BTC
3664796987,108228.0,5e-05,2025-01-01,True,BTC
